"","month","pct","bnf_code","bnf_name","quantity"
"1",2019-01-01,"03Q","1001030U0AAABAB","Methotrexate 2.5mg tablets",28485
"2",2019-01-01,"05L","1001030U0AAACAC","Methotrexate 10mg tablets",56
"3",2019-01-01,"10V","1001030U0AAABAB","Methotrexate 2.5mg tablets",17852
"4",2019-01-01,"05R","1001030U0AAABAB","Methotrexate 2.5mg tablets",12828
"5",2019-01-01,"18C","1001030U0AAACAC","Methotrexate 10mg tablets",36
"6",2019-01-01,"18C","1001030U0AAABAB","Methotrexate 2.5mg tablets",76799
"7",2019-01-01,"11M","1001030U0AAABAB","Methotrexate 2.5mg tablets",61855
"8",2019-01-01,"99C","1001030U0AAACAC","Methotrexate 10mg tablets",24
"9",2019-01-01,"07W","1001030U0AAACAC","Methotrexate 10mg tablets",637
"10",2019-01-01,"97R","1001030U0AAABAB","Methotrexate 2.5mg tablets",40671
"11",2019-01-01,"05V","1001030U0AAABAB","Methotrexate 2.5mg tablets",9418
"12",2019-01-01,"01Y","1001030U0AAACAC","Methotrexate 10mg tablets",40
"13",2019-01-01,"70F","1001030U0AAABAB","Methotrexate 2.5mg tablets",73178
"14",2019-01-01,"02Q","1001030U0AAABAB","Methotrexate 2.5mg tablets",10134
"15",2019-01-01,"01Y","1001030U0AAABAB","Methotrexate 2.5mg tablets",14574
"16",2019-01-01,"01G","1001030U0AAABAB","Methotrexate 2.5mg tablets",11526
"17",2019-01-01,"07W","1001030U0AAABAB","Methotrexate 2.5mg tablets",10773
"18",2019-01-01,"11J","1001030U0AAABAB","Methotrexate 2.5mg tablets",71849
"19",2019-01-01,"00Y","1001030U0AAACAC","Methotrexate 10mg tablets",16
"20",2019-01-01,"RDR","1001030U0AAABAB","Methotrexate 2.5mg tablets",64
"21",2019-01-01,"06P","1001030U0AAABAB","Methotrexate 2.5mg tablets",12922
"22",2019-01-01,"03A","1001030U0AAACAC","Methotrexate 10mg tablets",38
"23",2019-01-01,"05Y","1001030U0AAACAC","Methotrexate 10mg tablets",132
"24",2019-01-01,"15F","1001030U0AAACAC","Methotrexate 10mg tablets",5139
"25",2019-01-01,"03F","1001030U0AAABAB","Methotrexate 2.5mg tablets",22997
