,type,id,bnf_code,nm,ingredient,ddd,ddd_uomcd,category,paragraph,Route,ddd_flag
0,vmp,35899811000001104,0501040C0AAADAD,Amikacin 100mg/2ml solution for injection vials,Amikacin sulfate,1.0,258682000.0,Access,Aminoglycosides,Injectable,1
1,vmp,35899811000001104,0501040C0AAADAD,Amikacin 100mg/2ml solution for injection vials,Amikacin sulfate,1.0,258682000.0,Access,Aminoglycosides,Injectable,1
2,vmp,324143009,0501040C0AAADAD,Amikacin 100mg/2ml solution for injection vials,Amikacin sulfate,1.0,258682000.0,Access,Aminoglycosides,Injectable,1
3,vmp,324143009,0501040C0AAADAD,Amikacin 100mg/2ml solution for injection vials,Amikacin sulfate,1.0,258682000.0,Access,Aminoglycosides,Injectable,1
4,vmp,33516711000001107,,Amikacin 2.5% eye drops preservative free,Amikacin sulfate,-9.223372036854776e+18,,Access,Aminoglycosides,Topical,0
5,vmp,35104511000001105,,Amikacin 25mg/5ml solution for injection pre-filled syringes,Amikacin sulfate,-9.223372036854776e+18,,Access,Aminoglycosides,Injectable,0
6,vmp,35111911000001104,,Amikacin 25mg/5ml solution for injection vials,Amikacin sulfate,-9.223372036854776e+18,,Access,Aminoglycosides,Injectable,0
7,vmp,38244211000001108,,Amikacin 400micrograms/0.1ml intravitreal injection kit,Amikacin sulfate,-9.223372036854776e+18,,Access,Aminoglycosides,Other,0
8,vmp,35899911000001109,0501040C0AAAAAA,Amikacin 500mg/2ml solution for injection vials,Amikacin sulfate,1.0,258682000.0,Access,Aminoglycosides,Injectable,1
9,vmp,35899911000001109,0501040C0AAAAAA,Amikacin 500mg/2ml solution for injection vials,Amikacin sulfate,1.0,258682000.0,Access,Aminoglycosides,Injectable,1
10,vmp,324142004,0501040C0AAAAAA,Amikacin 500mg/2ml solution for injection vials,Amikacin sulfate,1.0,258682000.0,Access,Aminoglycosides,Injectable,1
11,vmp,324142004,0501040C0AAAAAA,Amikacin 500mg/2ml solution for injection vials,Amikacin sulfate,1.0,258682000.0,Access,Aminoglycosides,Injectable,1
12,vmp,16603411000001107,0501090A0AAAAAA,Aminosalicylic acid gastro-resistant granules 4g sachets sugar free,Aminosalicylic acid,12.0,258682000.0,Uncategorised,Others,Oral,1
13,vmp,35368511000001109,0501013B0AAAIAI,Amoxicillin 125mg/1.25ml oral suspension paediatric,Amoxicillin trihydrate,1.5,258682000.0,Access,Penicillins,Oral,1
14,vmp,323734001,0501013B0AAAIAI,Amoxicillin 125mg/1.25ml oral suspension paediatric,Amoxicillin trihydrate,1.5,258682000.0,Access,Penicillins,Oral,1
