"","year_month","ods_code","vmp_snomed_code","vmp_product_name","total_quantity"
"1",2019-01-01,"R1A","326874007","Methotrexate 2.5mg tablets",33
"2",2019-01-01,"R1C","326874007","Methotrexate 2.5mg tablets",1914
"3",2019-01-01,"R1D","326874007","Methotrexate 2.5mg tablets",24
"4",2019-01-01,"R1E","326874007","Methotrexate 2.5mg tablets",4012
"5",2019-01-01,"R1F","326874007","Methotrexate 2.5mg tablets",62
"6",2019-01-01,"R1H","326874007","Methotrexate 2.5mg tablets",11205
"7",2019-01-01,"R1K","326874007","Methotrexate 2.5mg tablets",19806
"8",2019-01-01,"R1L","326874007","Methotrexate 2.5mg tablets",81
"9",2019-01-01,"RA2","326874007","Methotrexate 2.5mg tablets",1163
"10",2019-01-01,"RA3","326874007","Methotrexate 2.5mg tablets",440
"11",2019-01-01,"RA4","326874007","Methotrexate 2.5mg tablets",1079
"12",2019-01-01,"RA7","326874007","Methotrexate 2.5mg tablets",6773
"13",2019-01-01,"RA9","326874007","Methotrexate 2.5mg tablets",2990
"14",2019-01-01,"RAE","326874007","Methotrexate 2.5mg tablets",8433
"15",2019-01-01,"RAJ","326874007","Methotrexate 2.5mg tablets",1289
"16",2019-01-01,"RAL","326874007","Methotrexate 2.5mg tablets",23899
"17",2019-01-01,"RAN","326874007","Methotrexate 2.5mg tablets",649
"18",2019-01-01,"RAP","326874007","Methotrexate 2.5mg tablets",1252
"19",2019-01-01,"RAS","326874007","Methotrexate 2.5mg tablets",1318
"20",2019-01-01,"RAT","326874007","Methotrexate 2.5mg tablets",20
"21",2019-01-01,"RAX","326874007","Methotrexate 2.5mg tablets",2935
"22",2019-01-01,"RBA","326874007","Methotrexate 2.5mg tablets",197
"23",2019-01-01,"RBD","326874007","Methotrexate 2.5mg tablets",168
"24",2019-01-01,"RBK","326874007","Methotrexate 2.5mg tablets",205
"25",2019-01-01,"RBL","326874007","Methotrexate 2.5mg tablets",557
"26",2019-01-01,"RBN","326874007","Methotrexate 2.5mg tablets",6918
"27",2019-01-01,"RBQ","326874007","Methotrexate 2.5mg tablets",130
"28",2019-01-01,"RBS","326874007","Methotrexate 2.5mg tablets",2368
"29",2019-01-01,"RBT","326874007","Methotrexate 2.5mg tablets",2657
"30",2019-01-01,"RBV","326874007","Methotrexate 2.5mg tablets",898
"31",2019-01-01,"RBZ","326874007","Methotrexate 2.5mg tablets",209
"32",2019-01-01,"RC1","326874007","Methotrexate 2.5mg tablets",101
"33",2019-01-01,"RC9","326874007","Methotrexate 2.5mg tablets",208
"34",2019-01-01,"RCB","326874007","Methotrexate 2.5mg tablets",3550
"35",2019-01-01,"RCD","326874007","Methotrexate 2.5mg tablets",2560
"36",2019-01-01,"RCF","326874007","Methotrexate 2.5mg tablets",956
"37",2019-01-01,"RCU","326874007","Methotrexate 2.5mg tablets",2221
"38",2019-01-01,"RCX","326874007","Methotrexate 2.5mg tablets",311
"39",2019-01-01,"RD1","326874007","Methotrexate 2.5mg tablets",897
"40",2019-01-01,"RD3","326874007","Methotrexate 2.5mg tablets",1810
"41",2019-01-01,"RD8","326874007","Methotrexate 2.5mg tablets",913
"42",2019-01-01,"RDD","326874007","Methotrexate 2.5mg tablets",6709
"43",2019-01-01,"RDE","326874007","Methotrexate 2.5mg tablets",895
"44",2019-01-01,"RDR","326874007","Methotrexate 2.5mg tablets",172
"45",2019-01-01,"RDU","326874007","Methotrexate 2.5mg tablets",624
"46",2019-01-01,"RDY","326874007","Methotrexate 2.5mg tablets",73
"47",2019-01-01,"RDZ","326874007","Methotrexate 2.5mg tablets",831
"48",2019-01-01,"RE9","326874007","Methotrexate 2.5mg tablets",12
"49",2019-01-01,"REF","326874007","Methotrexate 2.5mg tablets",390
"50",2019-01-01,"REM","326874007","Methotrexate 2.5mg tablets",5435
"51",2019-01-01,"REN","326874007","Methotrexate 2.5mg tablets",82
"52",2019-01-01,"RET","326874007","Methotrexate 2.5mg tablets",382
"53",2019-01-01,"RF4","326874007","Methotrexate 2.5mg tablets",1233
"54",2019-01-01,"RFF","326874007","Methotrexate 2.5mg tablets",7434
"55",2019-01-01,"RFR","326874007","Methotrexate 2.5mg tablets",2140
"56",2019-01-01,"RFS","326874007","Methotrexate 2.5mg tablets",4117
"57",2019-01-01,"RGM","326874007","Methotrexate 2.5mg tablets",55
"58",2019-01-01,"RGN","326874007","Methotrexate 2.5mg tablets",4804
"59",2019-01-01,"RGP","326874007","Methotrexate 2.5mg tablets",324
"60",2019-01-01,"RGQ","326874007","Methotrexate 2.5mg tablets",1533
"61",2019-01-01,"RGR","326874007","Methotrexate 2.5mg tablets",1108
"62",2019-01-01,"RGT","326874007","Methotrexate 2.5mg tablets",1733
"63",2019-01-01,"RH5","326874007","Methotrexate 2.5mg tablets",48
"64",2019-01-01,"RH8","326874007","Methotrexate 2.5mg tablets",1480
"65",2019-01-01,"RHM","326874007","Methotrexate 2.5mg tablets",3673
"66",2019-01-01,"RHQ","326874007","Methotrexate 2.5mg tablets",16659
"67",2019-01-01,"RHU","326874007","Methotrexate 2.5mg tablets",3597
"68",2019-01-01,"RHW","326874007","Methotrexate 2.5mg tablets",1459
"69",2019-01-01,"RJ1","326874007","Methotrexate 2.5mg tablets",20064
"70",2019-01-01,"RJ2","326874007","Methotrexate 2.5mg tablets",4965
"71",2019-01-01,"RJ6","326874007","Methotrexate 2.5mg tablets",6020
"72",2019-01-01,"RJ7","326874007","Methotrexate 2.5mg tablets",4376
"73",2019-01-01,"RJC","326874007","Methotrexate 2.5mg tablets",10549
