type,id,bnf_code,nm
amp,4548811000001106,0501030V0BBAAAA,Achromycin 250mg capsules (Wyeth Pharmaceuticals)
amp,18248711000001106,0501030P0BHABAC,Acnamino MR 100mg capsules (Almus Pharmaceuticals Ltd)
amp,9361611000001109,0501030P0BHAAAC,Acnamino MR 100mg capsules (Dexcel-Pharma Ltd)
amp,28046111000001104,,Adjusan 36.4mg/260mg periodontal gel cartridge (Heraeus)
amp,147511000001107,0501030P0BDABAE,Aknemin 100mg capsules (Almirall Ltd)
amp,116911000001108,0501030P0BDAAAD,Aknemin 50 capsules (Almirall Ltd)
amp,3844611000001100,1306010I0BFAAAF,Aknemycin Plus solution (Almirall Ltd)
amp,16136211000001107,,Aknemycin Plus solution (Lexon (UK) Ltd)
amp,39790611000001100,0501070AEBDAAAD,Alexi 3g granules sachets (Parapharm Development Ltd)
amp,3156911000001105,1201010Z0BCAAAB,Audicort ear drops (Mercury Pharma Group Ltd)
amp,3681611000001100,1304000Z0BEACCI,Aureocort ointment (Advanz Pharma)
amp,10447911000001105,,Aureomycine Evans 1% eye ointment (Imported (France))
amp,13652511000001104,0501050A0AAABAB,Azithromycin 200mg/5ml oral suspension (A A H Pharmaceuticals Ltd)
amp,17283411000001107,0501050A0AAABAB,Azithromycin 200mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd)
amp,37740911000001107,,Azithromycin 200mg/5ml oral suspension (CST Pharma Ltd)
amp,22615611000001105,0501050A0AAABAB,Azithromycin 200mg/5ml oral suspension (DE Pharmaceuticals)
amp,37041811000001107,0501050A0AAABAB,Azithromycin 200mg/5ml oral suspension (Mawdsley-Brooks & Company Ltd)
amp,38803511000001107,0501050A0AAABAB,Azithromycin 200mg/5ml oral suspension (Medihealth (Northern) Ltd)
amp,20281711000001105,0501050A0AAABAB,Azithromycin 200mg/5ml oral suspension (Sandoz Ltd)
amp,15070811000001101,0501050A0AAABAB,Azithromycin 200mg/5ml oral suspension (Sigma Pharmaceuticals Plc)
amp,14166911000001104,0501050A0AAABAB,Azithromycin 200mg/5ml oral suspension (Teva UK Ltd)
amp,21781011000001106,0501050A0AAABAB,Azithromycin 200mg/5ml oral suspension (Waymade Healthcare Plc)
amp,29516411000001104,0501050A0AAAHAH,Azithromycin 200mg/5ml oral suspension sugar free (Special Order)
amp,14968311000001103,0501050A0AAAAAA,Azithromycin 250mg capsules (A A H Pharmaceuticals Ltd)
amp,15017711000001104,0501050A0AAAAAA,Azithromycin 250mg capsules (Alliance Healthcare (Distribution) Ltd)
amp,36465711000001104,0501050A0AAAAAA,Azithromycin 250mg capsules (Crescent Pharma Ltd)
amp,19706711000001107,0501050A0AAAAAA,Azithromycin 250mg capsules (DE Pharmaceuticals)
amp,37893411000001102,0501050A0AAAAAA,Azithromycin 250mg capsules (Dawa Ltd)
amp,5518911000001104,,Azithromycin 250mg capsules (Dowelhurst Ltd)
amp,32395411000001104,0501050A0AAAAAA,Azithromycin 250mg capsules (Kent Pharma (UK) Ltd)
amp,37041111000001100,0501050A0AAAAAA,Azithromycin 250mg capsules (Mawdsley-Brooks & Company Ltd)
amp,38802911000001107,0501050A0AAAAAA,Azithromycin 250mg capsules (Medihealth (Northern) Ltd)
amp,35727711000001105,0501050A0AAAAAA,Azithromycin 250mg capsules (Mylan)
amp,17791111000001105,0501050A0AAAAAA,Azithromycin 250mg capsules (Phoenix Healthcare Distribution Ltd)
