type,id,bnf_code,nm,ingredient,route,ddd,ddd_uomcd
vmp,35899811000001104,0501040C0AAADAD,Amikacin 100mg/2ml solution for injection vials,Amikacin sulfate,Intramuscular,1.0,258682000.0
vmp,35899811000001104,0501040C0AAADAD,Amikacin 100mg/2ml solution for injection vials,Amikacin sulfate,Intravenous,1.0,258682000.0
vmp,33516711000001107,,Amikacin 2.5% eye drops preservative free,Amikacin sulfate,Ocular,,
vmp,35104511000001105,,Amikacin 25mg/5ml solution for injection pre-filled syringes,Amikacin sulfate,Intrathecal,,
vmp,35111911000001104,,Amikacin 25mg/5ml solution for injection vials,Amikacin sulfate,Intrathecal,,
vmp,38244211000001108,,Amikacin 400micrograms/0.1ml intravitreal injection kit,Amikacin sulfate,Intravitreal,,
vmp,35899911000001109,0501040C0AAAAAA,Amikacin 500mg/2ml solution for injection vials,Amikacin sulfate,Intramuscular,1.0,258682000.0
vmp,35899911000001109,0501040C0AAAAAA,Amikacin 500mg/2ml solution for injection vials,Amikacin sulfate,Intravenous,1.0,258682000.0
vmp,16603411000001107,0501090A0AAAAAA,Aminosalicylic acid gastro-resistant granules 4g sachets sugar free,Aminosalicylic acid,Oral,12.0,258682000.0
vmp,35368511000001109,0501013B0AAAIAI,Amoxicillin 125mg/1.25ml oral suspension paediatric,Amoxicillin trihydrate,Oral,1.5,258682000.0
vmp,323732002,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension,Amoxicillin trihydrate,Oral,1.5,258682000.0
vmp,35901911000001104,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free,Amoxicillin trihydrate,Oral,1.5,258682000.0
vmp,38726811000001109,0501013B0AAAUAU,Amoxicillin 1g dispersible tablets sugar free,Amoxicillin trihydrate,Oral,1.5,258682000.0
vmp,323739006,0501013C0AAAEAE,Amoxicillin 1g powder for solution for injection vials,Amoxicillin sodium,Intramuscular,3.0,258682000.0
vmp,323739006,0501013C0AAAEAE,Amoxicillin 1g powder for solution for injection vials,Amoxicillin sodium,Intravenous,3.0,258682000.0
vmp,39732311000001104,0501013B0AAAAAA,Amoxicillin 250mg capsules,Amoxicillin trihydrate,Oral,1.5,258682000.0
vmp,323737008,0501013C0AAACAC,Amoxicillin 250mg powder for solution for injection vials,Amoxicillin sodium,Intramuscular,3.0,258682000.0
vmp,323737008,0501013C0AAACAC,Amoxicillin 250mg powder for solution for injection vials,Amoxicillin sodium,Intravenous,3.0,258682000.0
vmp,323733007,0501013B0AAAKAK,Amoxicillin 250mg/5ml oral suspension,Amoxicillin trihydrate,Oral,1.5,258682000.0
vmp,39021911000001105,0501013B0AAATAT,Amoxicillin 250mg/5ml oral suspension sugar free,Amoxicillin trihydrate,Oral,1.5,258682000.0
vmp,35902111000001107,0501013B0AAAHAH,Amoxicillin 3g oral powder sachets sugar free,Amoxicillin trihydrate,Oral,1.5,258682000.0
vmp,39732411000001106,0501013B0AAABAB,Amoxicillin 500mg capsules,Amoxicillin trihydrate,Oral,1.5,258682000.0
vmp,323738003,0501013C0AAADAD,Amoxicillin 500mg powder for solution for injection vials,Amoxicillin sodium,Intramuscular,3.0,258682000.0
vmp,323738003,0501013C0AAADAD,Amoxicillin 500mg powder for solution for injection vials,Amoxicillin sodium,Intravenous,3.0,258682000.0
vmp,34226911000001109,,Amoxicillin 500mg/50ml infusion bags,Amoxicillin sodium,Intravenous,,
vmp,769817000,0501013B0AAAVAV,Amoxicillin 500mg/5ml oral suspension sugar free,Amoxicillin trihydrate,Oral,1.5,258682000.0
vmp,323572009,0501013E0AAAEAE,Ampicillin 125mg/5ml oral suspension,Ampicillin,Oral,2.0,258682000.0
vmp,323570001,0501013E0AAAAAA,Ampicillin 250mg capsules,Ampicillin,Oral,2.0,258682000.0
vmp,323573004,0501013E0AAAFAF,Ampicillin 250mg/5ml oral suspension,Ampicillin,Oral,2.0,258682000.0
vmp,323571002,0501013E0AAABAB,Ampicillin 500mg capsules,Ampicillin,Oral,2.0,258682000.0
vmp,323584006,0501013E0AAADAD,Ampicillin 500mg powder for solution for injection vials,Ampicillin sodium,Intramuscular,6.0,258682000.0
vmp,323584006,0501013E0AAADAD,Ampicillin 500mg powder for solution for injection vials,Ampicillin sodium,Intrapleural,6.0,258682000.0
vmp,323584006,0501013E0AAADAD,Ampicillin 500mg powder for solution for injection vials,Ampicillin sodium,Intraperitoneal,6.0,258682000.0
vmp,323584006,0501013E0AAADAD,Ampicillin 500mg powder for solution for injection vials,Ampicillin sodium,Intravenous,6.0,258682000.0
vmp,323584006,0501013E0AAADAD,Ampicillin 500mg powder for solution for injection vials,Ampicillin sodium,Intraarticular,6.0,258682000.0
vmp,19373411000001100,1103010AIAAAAAA,Azithromycin 15mg/g eye drops 0.25g unit dose preservative free,Azithromycin dihydrate,Ocular,,
vmp,324253001,0501050A0AAABAB,Azithromycin 200mg/5ml oral suspension,Azithromycin,Oral,300.0,258684004.0
vmp,29668711000001101,0501050A0AAAHAH,Azithromycin 200mg/5ml oral suspension sugar free,Azithromycin,Oral,300.0,258684004.0
vmp,324252006,0501050A0AAAAAA,Azithromycin 250mg capsules,Azithromycin dihydrate,Oral,300.0,258684004.0
vmp,11034311000001100,0501050A0AAAGAG,Azithromycin 250mg tablets,Azithromycin,Oral,300.0,258684004.0
vmp,370763001,,Azithromycin 500mg powder for solution for infusion vials,Azithromycin dihydrate,Intravenous,,
vmp,39733511000001103,0501050A0AAADAD,Azithromycin 500mg tablets,Azithromycin,Oral,300.0,258684004.0
vmp,323961007,0501023A0AAABAB,Aztreonam 1g powder for solution for injection vials,Aztreonam,Intramuscular,4.0,258682000.0
vmp,323961007,0501023A0AAABAB,Aztreonam 1g powder for solution for injection vials,Aztreonam,Intravenous,4.0,258682000.0
vmp,323962000,0501023A0AAAAAA,Aztreonam 2g powder for solution for injection vials,Aztreonam,Intramuscular,4.0,258682000.0
vmp,323962000,0501023A0AAAAAA,Aztreonam 2g powder for solution for injection vials,Aztreonam,Intravenous,4.0,258682000.0
vmp,323960008,0501023A0AAACAC,Aztreonam 500mg powder for solution for injection vials,Aztreonam,Intramuscular,4.0,258682000.0
vmp,323960008,0501023A0AAACAC,Aztreonam 500mg powder for solution for injection vials,Aztreonam,Intravenous,4.0,258682000.0
vmp,17463011000001100,,Aztreonam 75mg powder and solvent for nebuliser solution vials,Aztreonam lysine,Inhalation,,
vmp,17463411000001109,0501023A0AAAFAF,Aztreonam 75mg powder and solvent for nebuliser solution vials with device,Aztreonam lysine,Inhalation,225.0,258684004.0
vmp,24565811000001107,0501090V0AAAAAA,Bedaquiline 100mg tablets,Bedaquiline fumarate,Oral,86.0,258684004.0
vmp,22683611000001109,1306010Y0AAABAB,Benzoyl peroxide 3% / Clindamycin 1% gel,Clindamycin phosphate,Cutaneous,,
vmp,408140005,1306010Y0AAAAAA,Benzoyl peroxide 5% / Clindamycin 1% gel,Clindamycin phosphate,Cutaneous,,
vmp,35910511000001102,1306010C0AAAYAY,Benzoyl peroxide 5% / Erythromycin 3% gel,Erythromycin,Cutaneous,,
vmp,21657211000001109,,Benzylpenicillin 0.15% eye drops,Benzylpenicillin sodium,Ocular,,
vmp,22085211000001101,,Benzylpenicillin 0.3% eye drops,Benzylpenicillin sodium,Ocular,,
vmp,21658111000001102,,Benzylpenicillin 0.3% eye drops preservative free,Benzylpenicillin sodium,Ocular,,
vmp,21658811000001109,,Benzylpenicillin 0.6% eye drops,Benzylpenicillin sodium,Ocular,,
vmp,323396003,0501011J0AAAFAF,Benzylpenicillin 1.2g powder for solution for injection vials,Benzylpenicillin sodium,Intravenous,3.6,258682000.0
vmp,22097311000001100,,Benzylpenicillin 1.2g/50ml infusion bags,Benzylpenicillin sodium,Intravenous,,
vmp,21659511000001100,,Benzylpenicillin 6% eye drops,Benzylpenicillin sodium,Ocular,,
vmp,323398002,0501011J0AAABAB,Benzylpenicillin 600mg powder for solution for injection vials,Benzylpenicillin sodium,Intramuscular,3.6,258682000.0
vmp,323398002,0501011J0AAABAB,Benzylpenicillin 600mg powder for solution for injection vials,Benzylpenicillin sodium,Intravenous,3.6,258682000.0
vmp,22085911000001105,,Benzylpenicillin 600mg/50ml infusion bags,Benzylpenicillin sodium,Intravenous,,
vmp,330953008,1201010E0AAABAB,Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops,Neomycin sulfate,Auricular,,
vmp,330953008,1201010E0AAABAB,Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops,Neomycin sulfate,Nasal,,
vmp,330953008,1201010E0AAABAB,Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops,Neomycin sulfate,Ocular,,
vmp,331849001,1304000F0AACCCC,Betamethasone valerate 0.1% / Fusidic acid 2% cream,Fusidic acid,Cutaneous,,
vmp,331851002,1304000F0AACBCB,Betamethasone valerate 0.1% / Neomycin 0.5% cream,Neomycin sulfate,Cutaneous,,
vmp,331850001,1304000F0AACECE,Betamethasone valerate 0.1% / Neomycin 0.5% ointment,Neomycin sulfate,Cutaneous,,
vmp,324455006,0501090C0AAAAAA,Capreomycin 1g powder for solution for injection vials,Capreomycin sulfate,Intramuscular,1.0,258682000.0
vmp,323792004,0501021A0AAABAB,Cefaclor 125mg/5ml oral suspension,Cefaclor monohydrate,Oral,1.0,258682000.0
vmp,36134011000001105,0501021A0AAAJAJ,Cefaclor 125mg/5ml oral suspension sugar free,Cefaclor monohydrate,Oral,1.0,258682000.0
vmp,39735011000001107,0501021A0AAAAAA,Cefaclor 250mg capsules,Cefaclor monohydrate,Oral,1.0,258682000.0
vmp,323793009,0501021A0AAACAC,Cefaclor 250mg/5ml oral suspension,Cefaclor monohydrate,Oral,1.0,258682000.0
vmp,36134111000001106,0501021A0AAAKAK,Cefaclor 250mg/5ml oral suspension sugar free,Cefaclor monohydrate,Oral,1.0,258682000.0
vmp,36134211000001100,0501021A0AAAGAG,Cefaclor 375mg modified-release tablets,Cefaclor monohydrate,Oral,1.0,258682000.0
vmp,39735111000001108,0501021A0AAAEAE,Cefaclor 500mg capsules,Cefaclor monohydrate,Oral,1.0,258682000.0
vmp,323811004,0501021B0AAABAB,Cefadroxil 125mg/5ml oral suspension,Cefadroxil monohydrate,Oral,2.0,258682000.0
vmp,323812006,0501021B0AAACAC,Cefadroxil 250mg/5ml oral suspension,Cefadroxil monohydrate,Oral,2.0,258682000.0
vmp,39735211000001102,0501021B0AAAAAA,Cefadroxil 500mg capsules,Cefadroxil monohydrate,Oral,2.0,258682000.0
vmp,323816009,0501021B0AAADAD,Cefadroxil 500mg/5ml oral suspension,Cefadroxil monohydrate,Oral,2.0,258682000.0
vmp,323887008,0501021L0AAACAC,Cefalexin 125mg/5ml oral suspension,Cefalexin,Oral,2.0,258682000.0
vmp,4865011000001104,0501021L0AAANAN,Cefalexin 125mg/5ml oral suspension sugar free,Cefalexin,Oral,2.0,258682000.0
vmp,39735311000001105,0501021L0AAAAAA,Cefalexin 250mg capsules,Cefalexin,Oral,2.0,258682000.0
vmp,39684111000001105,0501021L0AAAGAG,Cefalexin 250mg tablets,Cefalexin,Oral,2.0,258682000.0
vmp,323888003,0501021L0AAADAD,Cefalexin 250mg/5ml oral suspension,Cefalexin,Oral,2.0,258682000.0
vmp,4515811000001108,0501021L0AAAPAP,Cefalexin 250mg/5ml oral suspension sugar free,Cefalexin,Oral,2.0,258682000.0
vmp,39694811000001102,0501021L0AAABAB,Cefalexin 500mg capsules,Cefalexin,Oral,2.0,258682000.0
vmp,39735911000001106,0501021L0AAAHAH,Cefalexin 500mg tablets,Cefalexin,Oral,2.0,258682000.0
vmp,36134311000001108,0501021L0AAAEAE,Cefalexin 500mg/5ml oral suspension,Cefalexin,Oral,2.0,258682000.0
vmp,4457111000001107,0501020T0AAABAB,Cefamandole 1g powder for solution for injection vials,Cefamandole nafate,Intramuscular,6.0,258682000.0
vmp,4457111000001107,0501020T0AAABAB,Cefamandole 1g powder for solution for injection vials,Cefamandole nafate,Intravenous,6.0,258682000.0
vmp,323936009,0501020V0AAABAB,Cefazolin 1g powder for solution for injection vials,Cefazolin sodium,Intramuscular,3.0,258682000.0
vmp,323936009,0501020V0AAABAB,Cefazolin 1g powder for solution for injection vials,Cefazolin sodium,Intravenous,3.0,258682000.0
vmp,33631211000001106,0501020V0AAADAD,Cefazolin 2g powder for solution for injection vials,Cefazolin sodium,Intravenous,3.0,258682000.0
vmp,323935008,0501020V0AAAAAA,Cefazolin 500mg powder for solution for injection vials,Cefazolin sodium,Intramuscular,3.0,258682000.0
vmp,323935008,0501020V0AAAAAA,Cefazolin 500mg powder for solution for injection vials,Cefazolin sodium,Intravenous,3.0,258682000.0
vmp,36458411000001105,0501020ADAAAAAA,Cefepime 1g powder for solution for injection vials,Cefepime dihydrochloride monohydrate,Intramuscular,4.0,258682000.0
vmp,36458411000001105,0501020ADAAAAAA,Cefepime 1g powder for solution for injection vials,Cefepime dihydrochloride monohydrate,Intravenous,4.0,258682000.0
vmp,36458511000001109,0501020ADAAABAB,Cefepime 2g powder for solution for injection vials,Cefepime dihydrochloride monohydrate,Intramuscular,4.0,258682000.0
vmp,36458511000001109,0501020ADAAABAB,Cefepime 2g powder for solution for injection vials,Cefepime dihydrochloride monohydrate,Intravenous,4.0,258682000.0
vmp,36134411000001101,0501021C0AAABAB,Cefixime 100mg/5ml oral suspension,Cefixime,Oral,400.0,258684004.0
vmp,323973007,0501021C0AAAAAA,Cefixime 200mg tablets,Cefixime,Oral,400.0,258684004.0
vmp,370375008,0501021C0AAACAC,Cefixime 400mg tablets,Cefixime,Oral,400.0,258684004.0
vmp,323825003,0501021D0AAABAB,Cefotaxime 1g powder for solution for injection vials,Cefotaxime sodium,Intramuscular,4.0,258682000.0
vmp,323825003,0501021D0AAABAB,Cefotaxime 1g powder for solution for injection vials,Cefotaxime sodium,Intravenous,4.0,258682000.0
vmp,4558311000001100,0501021D0AAACAC,Cefotaxime 2g powder for solution for injection vials,Cefotaxime sodium,Intramuscular,4.0,258682000.0
vmp,4558311000001100,0501021D0AAACAC,Cefotaxime 2g powder for solution for injection vials,Cefotaxime sodium,Intravenous,4.0,258682000.0
vmp,323824004,0501021D0AAAAAA,Cefotaxime 500mg powder for solution for injection vials,Cefotaxime sodium,Intramuscular,4.0,258682000.0
vmp,323824004,0501021D0AAAAAA,Cefotaxime 500mg powder for solution for injection vials,Cefotaxime sodium,Intravenous,4.0,258682000.0
vmp,323829009,0501021E0AAADAD,Cefoxitin 1g powder for solution for injection vials,Cefoxitin sodium,Intramuscular,6.0,258682000.0
vmp,323829009,0501021E0AAADAD,Cefoxitin 1g powder for solution for injection vials,Cefoxitin sodium,Intravenous,6.0,258682000.0
vmp,323830004,0501021E0AAAEAE,Cefoxitin 2g powder for solution for injection vials,Cefoxitin sodium,Intramuscular,6.0,258682000.0
vmp,323830004,0501021E0AAAEAE,Cefoxitin 2g powder for solution for injection vials,Cefoxitin sodium,Intravenous,6.0,258682000.0
vmp,323999000,050102020AAAAAA,Cefpirome 1g powder for solution for injection vials,Cefpirome sulfate,Intravenous,4.0,258682000.0
vmp,324000003,050102020AAABAB,Cefpirome 2g powder for solution for injection vials,Cefpirome sulfate,Intravenous,4.0,258682000.0
vmp,323982001,0501021F0AAAAAA,Cefpodoxime 100mg tablets,Cefpodoxime proxetil,Oral,400.0,258684004.0
vmp,35369711000001108,0501021F0AAABAB,Cefpodoxime 40mg/5ml oral suspension,Cefpodoxime proxetil,Oral,400.0,258684004.0
vmp,324003001,0501020AAAAAAAA,Cefprozil 250mg tablets,Cefprozil,Oral,1.0,258682000.0
vmp,324005008,0501020AAAAACAC,Cefprozil 250mg/5ml oral suspension,Cefprozil,Oral,1.0,258682000.0
vmp,324004007,0501020AAAAABAB,Cefprozil 500mg tablets,Cefprozil,Oral,1.0,258682000.0
vmp,323948007,0501021M0AAADAD,Cefradine 1g powder for solution for injection vials,Cefradine,Intramuscular,2.0,258682000.0
vmp,323948007,0501021M0AAADAD,Cefradine 1g powder for solution for injection vials,Cefradine,Intravenous,2.0,258682000.0
vmp,323944009,0501021M0AAAAAA,Cefradine 250mg capsules,Cefradine,Oral,2.0,258682000.0
vmp,36134511000001102,0501021M0AAAFAF,Cefradine 250mg/5ml oral solution,Cefradine,Oral,2.0,258682000.0
vmp,323945005,0501021M0AAABAB,Cefradine 500mg capsules,Cefradine,Oral,2.0,258682000.0
vmp,323947002,0501021M0AAACAC,Cefradine 500mg powder for solution for injection vials,Cefradine,Intramuscular,2.0,258682000.0
vmp,323947002,0501021M0AAACAC,Cefradine 500mg powder for solution for injection vials,Cefradine,Intravenous,2.0,258682000.0
vmp,323854009,0501021H0AAABAB,Ceftazidime 1g powder for solution for injection vials,Ceftazidime pentahydrate,Intramuscular,4.0,258682000.0
vmp,323854009,0501021H0AAABAB,Ceftazidime 1g powder for solution for injection vials,Ceftazidime pentahydrate,Intravenous,4.0,258682000.0
vmp,22098511000001105,,Ceftazidime 1g/25ml solution for infusion pre-filled syringes,Ceftazidime pentahydrate,Intravenous,,
vmp,22097911000001104,,Ceftazidime 1g/50ml infusion bags,Ceftazidime pentahydrate,Intravenous,,
vmp,22455011000001109,,Ceftazidime 1g/50ml solution for infusion pre-filled injection devices,Ceftazidime pentahydrate,Intravenous,,
vmp,323852008,0501021H0AAADAD,Ceftazidime 250mg powder for solution for injection vials,Ceftazidime pentahydrate,Intramuscular,4.0,258682000.0
vmp,323852008,0501021H0AAADAD,Ceftazidime 250mg powder for solution for injection vials,Ceftazidime pentahydrate,Intravenous,4.0,258682000.0
vmp,34179911000001103,,Ceftazidime 2g / Avibactam 500mg powder for solution for infusion vials,Ceftazidime pentahydrate,Intravenous,,
vmp,323856006,,Ceftazidime 2g intravenous infusion vials,Ceftazidime pentahydrate,Intravenous,4.0,258682000.0
vmp,323855005,0501021H0AAACAC,Ceftazidime 2g powder for solution for injection vials,Ceftazidime pentahydrate,Intramuscular,4.0,258682000.0
vmp,323855005,0501021H0AAACAC,Ceftazidime 2g powder for solution for injection vials,Ceftazidime pentahydrate,Intravenous,4.0,258682000.0
vmp,323849000,0501021H0AAAHAH,Ceftazidime 3g powder for solution for injection vials,Ceftazidime pentahydrate,Intramuscular,4.0,258682000.0
vmp,323849000,0501021H0AAAHAH,Ceftazidime 3g powder for solution for injection vials,Ceftazidime pentahydrate,Intravenous,4.0,258682000.0
vmp,323853003,0501021H0AAAAAA,Ceftazidime 500mg powder for solution for injection vials,Ceftazidime pentahydrate,Intramuscular,4.0,258682000.0
vmp,323853003,0501021H0AAAAAA,Ceftazidime 500mg powder for solution for injection vials,Ceftazidime pentahydrate,Intravenous,4.0,258682000.0
vmp,31007811000001109,,Ceftolozane 1g / Tazobactam 500mg powder for solution for infusion vials,Tazobactam sodium,Intravenous,,
vmp,323990001,0501021G0AAACAC,Ceftriaxone 1g powder for solution for injection vials,Ceftriaxone sodium,Intramuscular,2.0,258682000.0
vmp,323990001,0501021G0AAACAC,Ceftriaxone 1g powder for solution for injection vials,Ceftriaxone sodium,Intravenous,2.0,258682000.0
vmp,323989005,0501021G0AAABAB,Ceftriaxone 250mg powder for solution for injection vials,Ceftriaxone sodium,Intramuscular,2.0,258682000.0
vmp,323989005,0501021G0AAABAB,Ceftriaxone 250mg powder for solution for injection vials,Ceftriaxone sodium,Intravenous,2.0,258682000.0
vmp,23107411000001109,,Ceftriaxone 2g powder for solution for infusion vials,Ceftriaxone sodium,Intramuscular,2.0,258682000.0
vmp,23107411000001109,,Ceftriaxone 2g powder for solution for infusion vials,Ceftriaxone sodium,Intravenous,2.0,258682000.0
vmp,323991002,0501021G0AAADAD,Ceftriaxone 2g powder for solution for injection vials,Ceftriaxone sodium,Intramuscular,2.0,258682000.0
