antibiotic,class,atc,category,listed_on_eml_2019
Spiramycin,Macrolides,J01FA02,Watch,False
Troleandomycin,Macrolides,J01FA08,Watch,False
Rokitamycin,Macrolides,J01FA12,Watch,False
Midecamycin,Macrolides,J01FA03,Watch,False
Fidaxomicin,Macrolides,A07AA12,Watch,False
Dirithromycin,Macrolides,J01FA13,Watch,False
Telithromycin,Macrolides,J01FA15,Watch,False
Erythromycin,Macrolides,J01FA01,Watch,False
Clarithromycin,Macrolides,J01FA09,Watch,True
Flurithromycin,Macrolides,J01FA14,Watch,False
Oleandomycin,Macrolides,J01FA05,Watch,False
Miocamycin,Macrolides,J01FA11,Watch,False
Roxithromycin,Macrolides,J01FA06,Watch,False
Josamycin,Macrolides,J01FA07,Watch,False
Azithromycin,Macrolides,J01FA10,Watch,True
Solithromycin,Macrolides,J01FA16,Watch,False
Pipemidic acid,Quinolones,J01MB04,Watch,False
Cinoxacin,Quinolones,J01MB06,Watch,False
Flumequine,Quinolones,J01MB07,Watch,False
Nemonoxacin,Quinolones,J01MB08,Watch,False
Oxolinic acid,Quinolones,J01MB05,Watch,False
Rosoxacin,Quinolones,J01MB01,Watch,False
Piromidic acid,Quinolones,J01MB03,Watch,False
Rifaximin,Rifamycins,A07AA11,Watch,False
Rifabutin,Rifamycins,J04AB04,Watch,False
Rifamycin (oral),Rifamycins,A07AA13,Watch,False
Rifamycin (IV),Rifamycins,J04AB03,Watch,False
Rifampicin,Rifamycins,J04AB02,Watch,False
Doripenem,Carbapenems,J01DH04,Watch,False
Panipenem,Carbapenems,J01DH55,Watch,False
Biapenem,Carbapenems,J01DH05,Watch,False
Imipenem/cilastatin,Carbapenems,J01DH51,Watch,False
Meropenem,Carbapenems,J01DH02,Watch,True
Ertapenem,Carbapenems,J01DH03,Watch,False
Tebipenem,Carbapenems,J01DH06,Watch,False
Lincomycin,Lincosamides,J01FF02,Watch,False
Aspoxicillin,Penicillins ,J01CA19,Watch,False
Carindacillin,Penicillins ,J01CA05,Watch,False
Pheneticillin,Penicillins ,J01CE05,Watch,False
Carbenicillin,Penicillins ,J01CA03,Watch,False
Mezlocillin,Penicillins ,J01CA10,Watch,False
Temocillin,Penicillins ,J01CA17,Watch,False
Azlocillin,Penicillins ,J01CA09,Watch,False
Sulbenicillin,Penicillins ,J01CA16,Watch,False
Ticarcillin,Penicillins ,J01CA13,Watch,False
Piperacillin,Penicillins ,J01CA12,Watch,False
Vancomycin (oral),Glycopeptides,A07AA09,Watch,True
Vancomycin (IV),Glycopeptides,J01XA01,Watch,True
Teicoplanin,Glycopeptides,J01XA02,Watch,False
Clomocycline,Tetracyclines,J01AA11,Watch,False
Lymecycline,Tetracyclines,J01AA04,Watch,False
Demeclocycline,Tetracyclines,J01AA01,Watch,False
Metacycline,Tetracyclines,J01AA05,Watch,False
